Date,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,外資買進股數,外資賣出股數,外資買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數,本益比,股價淨值比,殖利率,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險)
20140102,2330,台積電,"15,133,724","4,136","1,578,860,796",105,105.5,103.5,104.5,-,1,"6,295,375","11,079,966","-4,784,591","40,000","1,024,000","-984,000","925,000","1,152,000","227,000","-4,843,591",14.66,3.37,2.86,,,,,,
20140103,2330,台積電,"41,160,529","8,524","4,220,062,918",103,103,102,102.5,-,2,"8,347,560","32,569,828","-24,222,268","20,000","831,000","-811,000","1,032,000","1,603,000","571,000","-24,001,268",14.38,3.31,2.92,,,,,,
20140106,2330,台積電,"23,729,719","4,874","2,432,745,661",102,103,102,102.5, ,0,"7,910,700","21,125,375","-13,214,675","200,000","178,000","22,000","79,000","269,000","190,000","-13,113,675",14.38,3.31,2.92,,,,,,
20140107,2330,台積電,"18,803,694","5,529","1,907,188,388",102.5,103,102,102,-,0.5,"12,082,380","15,095,108","-3,012,728","288,000","165,000","123,000","262,000","297,000","35,000","-2,627,728",14.31,3.29,2.93,,,,,,
20140108,2330,台積電,"30,933,475","7,305","3,209,563,219",103,104.5,102.5,104,+,2,"21,892,513","17,880,290","4,012,223","404,000","60,000","344,000","-351,000","431,000","782,000","4,005,223",14.59,3.35,2.88,,,,,,
20140109,2330,台積電,"64,221,769","19,873","6,522,626,520",102.5,103,100.5,101,-,3,"13,358,429","45,281,491","-31,923,062","553,000","180,000","373,000","-33,000","2,453,000","2,486,000","-31,583,062",14.17,3.26,2.96,,,,,,
20140110,2330,台積電,"36,289,948","7,619","3,703,540,624",102,102.5,101.5,102,+,1,"10,542,566","29,559,834","-19,017,268","1,583,000","44,000","1,539,000","718,000","1,547,000","829,000","-16,760,268",14.31,3.29,2.93,,,,,,
20140113,2330,台積電,"22,080,716","6,282","2,273,073,754",103,103.5,102.5,103,+,1,"11,818,060","15,148,489","-3,330,429","480,000","27,000","453,000","2,349,000","2,663,000","314,000","-528,429",14.45,3.32,2.9,,,,,,
20140114,2330,台積電,"21,718,294","5,256","2,237,629,782",102.5,103.5,102,103.5,+,0.5,"8,515,000","14,244,555","-5,729,555","1,286,000",0,"1,286,000","2,495,000","2,696,000","201,000","-1,948,555",14.52,3.34,2.89,,,,,,
20140115,2330,台積電,"54,458,036","15,415","5,722,578,780",104,106,104,105,+,1.5,"25,677,400","17,550,858","8,126,542","3,108,000","1,221,000","1,887,000","4,000,000","5,939,000","1,939,000","14,013,542",14.73,3.39,2.85,,,,,,
20140116,2330,台積電,"49,601,100","16,279","5,301,040,094",106,107.5,106,107,+,2,"22,525,000","12,542,182","9,982,818","2,012,000","301,000","1,711,000","900,009","3,785,009","2,885,000","12,593,827",15.01,3.45,2.79,,,,,,
20140117,2330,台積電,"55,767,194","15,038","6,014,453,565",108,108.5,107,107.5,+,0.5,"47,441,637","21,437,258","26,004,379","543,000","110,000","433,000","-7,593,000","597,000","8,190,000","18,844,379",15.08,3.47,2.78,,,,,,
20140120,2330,台積電,"24,299,123","8,533","2,622,482,683",107,108.5,107,107.5, ,0,"15,276,164","9,535,154","5,741,010",0,"25,000","-25,000","-1,231,000","206,000","1,437,000","4,485,010",15.08,3.47,2.78,,,,,,
20140121,2330,台積電,"25,121,036","6,334","2,695,028,292",108.5,108.5,106,106.5,-,1,"18,461,510","13,386,236","5,075,274","268,000","151,000","117,000","-447,000","257,000","704,000","4,745,274",14.94,3.44,2.81,,,,,,
20140122,2330,台積電,"28,726,849","7,549","3,065,077,343",106,107.5,106,107.5,+,1,"21,262,000","17,764,561","3,497,439","67,000","155,000","-88,000","579,000","1,163,000","584,000","3,988,439",15.08,3.47,2.78,,,,,,
20140123,2330,台積電,"28,308,805","7,461","3,055,374,935",108.5,108.5,107.5,107.5, ,0,"22,601,296","16,205,172","6,396,124","17,000","21,000","-4,000","-760,000","143,000","903,000","5,632,124",15.08,3.47,2.78,,,,,,
20140124,2330,台積電,"34,059,356","8,172","3,671,261,247",107,108.5,107,108,+,0.5,"27,318,460","24,942,211","2,376,249","150,000","8,000","142,000","-66,000","381,000","447,000","2,452,249",15.15,3.48,2.77,,,,,,
20140127,2330,台積電,"65,271,057","17,118","6,848,753,986",106,106.5,104,105,-,3,"29,920,000","58,912,011","-28,992,011","1,176,000","191,000","985,000","1,233,000","1,915,000","682,000","-26,774,011",14.73,3.39,2.85,,,,,,
20140205,2330,台積電,"147,198,405","37,866","14,922,299,001",102,102,100.5,100.5,-,4.5,"50,262,809","142,112,472","-91,849,663","250,000","344,000","-94,000","2,069,000","3,141,000","1,072,000","-89,874,663",14.1,3.24,2.98,,,,,,
20140206,2330,台積電,"73,840,243","16,321","7,540,841,366",101,103,101,102,+,1.5,"35,250,200","61,938,551","-26,688,351","457,000","1,456,000","-999,000","-390,000","651,000","1,041,000","-28,077,351",14.31,3.29,2.93,,,,,,
20140207,2330,台積電,"54,185,812","14,854","5,628,604,948",103.5,104.5,103,104,+,2,"20,278,020","32,900,330","-12,622,310","365,000","6,000","359,000","-1,535,000","658,000","2,193,000","-13,798,310",14.59,3.35,2.88,,,,,,
20140210,2330,台積電,"26,243,521","7,897","2,725,145,903",104,104.5,103,103,-,1,"8,326,000","20,854,076","-12,528,076","15,000","333,000","-318,000","-503,000","18,000","521,000","-13,349,076",14.45,3.32,2.9,,,,,,
20140211,2330,台積電,"23,523,880","6,947","2,436,083,720",104.5,105,104,104.5,+,1.5,"12,814,610","12,250,686","563,924",0,"117,000","-117,000","-862,000","44,000","906,000","-415,076",14.66,3.37,2.86,,,,,,
20140212,2330,台積電,"25,305,882","7,138","2,661,441,170",105,105.5,104.5,105,+,0.5,"18,600,000","15,090,389","3,509,611","100,000","146,000","-46,000","-131,000","254,000","385,000","3,332,611",14.73,3.39,2.85,,,,,,
20140213,2330,台積電,"19,625,423","5,781","2,067,832,915",105,106,105,105, ,0,"16,337,000","7,355,158","8,981,842",0,"959,427","-959,427","-2,925,000","120,000","3,045,000","5,097,415",14.73,3.39,2.85,,,,,,
20140214,2330,台積電,"42,737,744","14,580","4,578,772,108",106.5,107.5,106.5,107.5,+,2.5,"33,378,000","10,742,371","22,635,629","279,000","56,000","223,000","270,000","2,475,000","2,205,000","23,128,629",15.08,3.47,2.78,,,,,,
20140217,2330,台積電,"34,368,373","11,664","3,714,458,464",108,108.5,107.5,108.5,+,1,"30,277,900","9,523,020","20,754,880","248,000","100,000","148,000","-465,000","219,000","684,000","20,437,880",15.22,3.5,2.76,,,,,,
20140218,2330,台積電,"22,289,965","5,778","2,403,989,204",108.5,108.5,107.5,108,-,0.5,"18,718,000","6,280,402","12,437,598","1,190,000","239,000","951,000","-109,000","99,000","208,000","13,279,598",15.15,3.48,2.77,,,,,,
20140219,2330,台積電,"28,886,535","7,006","3,102,602,484",108,108,107,108, ,0,"26,665,700","10,182,136","16,483,564","65,000",0,"65,000","-866,000","335,000","1,201,000","15,682,564",15.15,3.48,2.77,,,,,,
20140220,2330,台積電,"28,469,515","6,646","3,029,358,090",106.5,107,106,106.5,-,1.5,"21,640,751","15,477,043","6,163,708","222,000","886,000","-664,000","-147,000","244,000","391,000","5,352,708",14.94,3.44,2.81,,,,,,
20140221,2330,台積電,"31,505,340","7,819","3,381,313,380",107,107.5,107,107.5,+,1,"29,505,000","9,762,525","19,742,475","40,000","494,000","-454,000","-162,000","258,000","420,000","19,126,475",15.08,3.47,2.78,,,,,,
20140224,2330,台積電,"32,057,819","6,992","3,435,891,697",107.5,108,106,107,-,0.5,"27,445,000","11,762,738","15,682,262","60,000","448,000","-388,000","239,000","329,000","90,000","15,533,262",15.01,3.45,2.79,,,,,,
20140225,2330,台積電,"34,350,129","6,570","3,685,266,810",107.5,108,106.5,108,+,1,"30,293,160","12,021,143","18,272,017","595,000","59,000","536,000","-168,000","331,000","499,000","18,640,017",15.15,3.48,2.77,,,,,,
20140226,2330,台積電,"34,982,996","5,182","3,762,870,072",107.5,108,107,107.5,-,0.5,"30,790,000","16,287,925","14,502,075","157,000","45,000","112,000","273,000","473,000","200,000","14,887,075",15.08,3.29,2.78,,,,,,
20140227,2330,台積電,"49,352,141","7,531","5,323,712,132",107.5,108,107.5,108,+,0.5,"40,750,679","27,417,073","13,333,606","107,000","176,000","-69,000","2,200,000","2,398,000","198,000","15,464,606",14.88,3.3,2.77,,,,,,
20140303,2330,台積電,"62,467,129","10,046","6,706,761,665",108,108,106.5,108, ,0,"49,236,360","44,229,035","5,007,325",0,"412,000","-412,000","-2,015,000","114,000","2,129,000","2,580,325",14.88,3.3,2.77,,,,,,
20140304,2330,台積電,"48,939,593","9,493","5,273,707,058",108,108,107.5,107.5,-,0.5,"33,704,100","32,954,379","749,721","86,000","618,000","-532,000","170,000","410,000","240,000","387,721",14.81,3.29,2.78,,,,,,
20140305,2330,台積電,"55,447,701","16,511","6,074,004,809",108.5,110,108.5,110,+,2.5,"27,164,575","22,201,188","4,963,387","20,000","151,000","-131,000","662,000","1,521,000","859,000","5,494,387",15.15,3.36,2.72,,,,,,
20140306,2330,台積電,"72,622,868","18,144","8,142,187,484",110,113.5,110,113,+,3,"46,606,140","28,317,543","18,288,597","454,000","225,000","229,000","-1,017,000","853,000","1,870,000","17,500,597",15.56,3.46,2.65,,,,,,
20140307,2330,台積電,"66,916,749","17,219","7,649,451,186",114,115,113.5,114.5,+,1.5,"49,248,000","24,537,862","24,710,138","352,000","349,000","3,000","-2,263,000","358,000","2,621,000","22,450,138",15.77,3.5,2.61,,,,,,
20140310,2330,台積電,"38,430,338","9,237","4,354,521,623",114.5,114.5,112.5,113,-,1.5,"19,498,000","23,182,584","-3,684,584","878,000","1,791,000","-913,000","317,000","774,000","457,000","-4,280,584",15.56,3.46,2.65,,,,,,
20140311,2330,台積電,"29,182,885","9,133","3,324,036,739",113.5,114.5,113.5,114,+,1,"9,104,700","11,792,545","-2,687,845","112,000","379,000","-267,000","142,000","437,000","295,000","-2,812,845",15.7,3.49,2.62,,,,,,
20140312,2330,台積電,"18,414,771","5,218","2,073,574,352",112.5,113,112,113,-,1,"10,246,000","8,708,205","1,537,795","161,000","382,000","-221,000","-3,636,000","244,000","3,880,000","-2,319,205",15.56,3.46,2.65,,,,,,
20140313,2330,台積電,"59,080,824","16,969","6,890,677,534",116.5,117.5,115.5,116.5,+,3.5,"51,020,000","25,734,285","25,285,715","997,000","377,000","620,000","-2,193,000","264,000","2,457,000","23,712,715",16.05,3.56,2.57,,,,,,
20140314,2330,台積電,"47,105,032","12,132","5,396,134,366",115,115.5,114,115,-,1.5,"34,913,760","29,596,865","5,316,895","77,000","362,000","-285,000","102,000","912,000","810,000","5,133,895",15.84,3.52,2.6,,,,,,
20140317,2330,台積電,"33,910,334","8,995","3,854,652,365",114.5,115,113,114,-,1,"18,192,000","14,345,221","3,846,779","153,000","1,288,000","-1,135,000","-125,000","536,000","661,000","2,586,779",15.7,3.49,2.62,,,,,,
20140318,2330,台積電,"37,517,456","7,396","4,285,097,984",114.5,115,113.5,114.5,+,0.5,"29,519,000","15,863,779","13,655,221","100,000","17,000","83,000","55,000","307,000","252,000","13,793,221",15.77,3.5,2.61,,,,,,
20140319,2330,台積電,"35,237,094","6,589","4,023,833,316",114.5,115,113.5,114.5, ,0,"27,894,000","15,034,021","12,859,979",0,"501,000","-501,000","655,840","1,171,000","515,160","13,014,819",15.77,3.5,2.61,,,,,,
20140320,2330,台積電,"46,512,209","13,078","5,232,891,154",113,113.5,112,112,-,2.5,"26,604,000","24,476,069","2,127,931","618,000","153,000","465,000","-135,000","672,000","807,000","2,457,931",15.43,3.43,2.67,,,,,,
20140321,2330,台積電,"60,438,012","7,294","6,807,696,918",114,114,112,112.5,+,0.5,"49,168,928","23,881,656","25,287,272","100,000","17,000","83,000","-1,005,000","543,000","1,548,000","24,365,272",15.5,3.44,2.67,,,,,,
20140324,2330,台積電,"29,607,569","7,098","3,320,400,583",111.5,112.5,111.5,112.5, ,0,"20,397,980","8,324,852","12,073,128","136,000","100,000","36,000","-521,000","809,000","1,330,000","11,588,128",15.5,3.44,2.67,,,,,,
20140325,2330,台積電,"38,070,794","6,933","4,291,636,589",111.5,113.5,111.5,113.5,+,1,"13,704,600","8,223,670","5,480,930",0,"463,000","-463,000","1,288,000","1,436,000","148,000","6,305,930",15.63,3.47,2.64,,,,,,
20140326,2330,台積電,"45,234,160","12,860","5,211,750,315",115.5,116,114.5,115.5,+,2,"34,702,000","19,880,253","14,821,747","293,000","45,000","248,000","-426,000","416,000","842,000","14,643,747",15.91,3.53,2.6,,,,,,
20140327,2330,台積電,"31,399,282","8,641","3,609,273,026",114.5,116,114,116,+,0.5,"25,153,000","11,626,301","13,526,699","589,000","218,000","371,000","45,000","348,000","303,000","13,942,699",15.98,3.55,2.59,,,,,,
20140328,2330,台積電,"43,794,489","12,521","5,107,684,713",116,117.5,115.5,117.5,+,1.5,"33,034,160","7,141,856","25,892,304",0,"436,000","-436,000","-1,298,000","205,000","1,503,000","24,158,304",16.18,3.59,2.55,,,,,,
20140331,2330,台積電,"47,146,441","8,839","5,550,959,038",118,118.5,116.5,118.5,+,1,"42,502,423","19,584,600","22,917,823","307,000","298,000","9,000","-472,000","301,000","773,000","22,454,823",16.32,3.62,2.53,,,,,,
20140401,2330,台積電,"40,636,462","12,571","4,834,224,978",119,119.5,118.5,119.5,+,1,"36,116,767","13,632,083","22,484,684","380,000","295,000","85,000","-347,000","137,000","484,000","22,222,684",16.46,3.66,2.51,,,,,,
20140402,2330,台積電,"43,684,651","9,400","5,238,971,816",120.5,121,119,120,+,0.5,"35,790,630","16,612,334","19,178,296","1,327,000","460,000","867,000","-830,000","137,000","967,000","19,215,296",16.53,3.67,2.5,,,,,,
20140403,2330,台積電,"37,000,420","10,198","4,374,998,060",118.5,119,117.5,118.5,-,1.5,"28,360,000","23,791,160","4,568,840","1,000","857,000","-856,000","191,000","519,000","328,000","3,903,840",16.32,3.62,2.53,,,,,,
20140407,2330,台積電,"45,254,843","11,316","5,305,535,631",117.5,118,116.5,117.5,-,1,"39,193,150","32,336,165","6,856,985",0,"234,000","-234,000","383,000","434,000","51,000","7,005,985",16.18,3.59,2.55,,,,,,
20140408,2330,台積電,"43,894,168","9,396","5,173,993,549",117,119.5,117,119,+,1.5,"28,125,718","22,841,780","5,283,938",0,"455,000","-455,000","193,000","487,000","294,000","5,021,938",16.39,3.64,2.52,,,,,,
20140409,2330,台積電,"29,648,114","8,284","3,548,296,766",119.5,120,119,119, ,0,"22,341,000","17,146,839","5,194,161","11,000",0,"11,000","-515,000","97,000","612,000","4,690,161",16.39,3.64,2.52,,,,,,
20140410,2330,台積電,"27,215,773","7,229","3,243,663,187",119,119.5,118.5,119.5,+,0.5,"18,666,420","19,559,605","-893,185","143,484","438,000","-294,516","290,000","715,000","425,000","-897,701",16.46,3.66,2.51,,,,,,
